"File","CountDeclMethodPrivate","AvgLineCode","CountLine","MaxCyclomatic","CountDeclMethodDefault","AvgEssential","CountDeclClassVariable","SumCyclomaticStrict","AvgCyclomatic","AvgLine","CountDeclClassMethod","AvgLineComment","AvgCyclomaticModified","CountDeclFunction","CountLineComment","CountDeclClass","CountDeclMethod","SumCyclomaticModified","CountLineCodeDecl","CountDeclMethodProtected","CountDeclInstanceVariable","MaxCyclomaticStrict","CountDeclMethodPublic","CountLineCodeExe","SumCyclomatic","SumEssential","CountStmtDecl","CountLineCode","CountStmtExe","RatioCommentToCode","CountLineBlank","CountStmt","MaxCyclomaticModified","CountSemicolon","AvgLineBlank","CountDeclInstanceMethod","AvgCyclomaticStrict","PercentLackOfCohesion","MaxInheritanceTree","CountClassDerived","CountClassCoupled","CountClassBase","CountInput_Max","CountInput_Mean","CountInput_Min","CountOutput_Max","CountOutput_Mean","CountOutput_Min","CountPath_Max","CountPath_Mean","CountPath_Min","MaxNesting_Max","MaxNesting_Mean","MaxNesting_Min","COMM","ADEV","DDEV","Added_lines","Del_lines","OWN_LINE","OWN_COMMIT","MINOR_COMMIT","MINOR_LINE","MAJOR_COMMIT","MAJOR_LINE","HeuBug","HeuBugCount","RealBug","RealBugCount"
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicAnalyzer.java",0,6,214,2,1,1,3,10,1,11,2,5,1,9,97,3,9,10,46,0,4,2,8,41,10,9,40,95,28,1.02,22,68,2,54,0,7,1,100,2,0,12,1,6,3,1,12,4.55555555555556,1,2,1.11111111111111,1,3,0.571428571428571,0,13,13,4,318,59,0.448598130841122,0.461538461538462,0,5,4,0,"FALSE",0,"TRUE",3
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicLetterTokenizer.java",0,3,55,1,0,1,0,5,1,4,0,1,1,4,28,1,4,4,10,1,0,2,3,4,4,4,9,19,4,1.47,8,13,1,8,0,4,1,0,6,0,1,1,8,3.25,1,3,2.25,2,1,1,1,0,0,0,4,4,4,56,1,0.763636363636364,0.25,0,3,4,1,"FALSE",0,"FALSE",0
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicNormalizationFilter.java",0,6,51,2,0,1,0,3,2,6,0,0,2,2,20,1,2,3,12,0,2,2,2,9,3,2,11,23,7,0.87,8,18,2,14,0,2,2,0,4,0,2,1,7,5,3,6,5.5,5,2,1.5,1,1,0.75,0,6,6,4,68,17,0.745098039215686,0.333333333333333,0,2,4,3,"FALSE",0,"FALSE",0
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicNormalizer.java",0,18,115,16,0,1,17,18,9,27,0,7,3,2,46,1,2,5,21,1,0,16,1,48,18,2,22,57,17,0.81,12,39,3,33,1,2,9,50,1,0,0,1,20,12,4,3,2.5,2,6,4,2,2,1.75,1,2,2,1,124,9,0.808695652173913,1,0,2,1,0,"FALSE",0,"FALSE",0
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicStemFilter.java",0,7,52,2,0,1,0,3,2,7,0,0,2,2,20,1,2,3,12,0,2,2,2,9,3,2,11,24,7,0.83,8,18,2,14,0,2,2,0,4,0,2,1,5,4,3,6,5.5,5,2,1.5,1,1,0.75,0,6,6,4,77,25,0.730769230769231,0.333333333333333,0,2,4,3,"FALSE",0,"FALSE",0
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/ar/ArabicStemmer.java",0,7,178,5,2,2,13,21,3,14,0,7,3,7,81,1,7,20,41,2,0,6,3,61,20,16,27,84,36,0.96,16,63,5,42,0,7,3,97,1,0,0,1,6,4.71428571428571,3,3,2.14285714285714,1,5,2.85714285714286,1,3,2,0,2,2,2,178,0,0.99438202247191,0.5,0,1,2,1,"FALSE",0,"FALSE",0
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/br/BrazilianAnalyzer.java",0,5,242,2,0,1,2,13,1,10,1,5,1,12,105,3,12,13,70,0,5,2,12,59,13,12,44,120,30,0.88,21,74,2,59,0,11,1,75,2,0,12,1,6,2.75,1,12,4.16666666666667,1,2,1.08333333333333,1,3,0.352941176470588,0,12,12,4,361,72,0.309917355371901,0.333333333333333,0,5,4,3,"FALSE",0,"TRUE",3
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/br/BrazilianStemFilter.java",0,7,69,4,0,1,0,8,2,8,0,0,2,3,25,1,3,6,16,0,3,6,3,16,6,3,15,34,11,0.74,10,26,4,19,0,3,3,33,4,0,2,1,4,3.66666666666667,3,7,5.33333333333333,3,4,2,1,3,1.8,0,5,5,4,97,28,0.376811594202899,0.4,0,4,4,2,"FALSE",0,"FALSE",0
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/br/BrazilianStemmer.java",16,39,1021,122,0,12,0,321,13,50,0,8,13,19,174,1,19,240,34,1,5,122,2,496,240,232,35,762,634,0.23,86,669,122,429,3,19,17,75,1,0,0,1,9,3.73684210526316,1,15,4.21052631578947,1,1189,84.2631578947368,1,3,1.38095238095238,0,3,3,3,1041,20,0.941234084231146,0.333333333333333,0,1,3,5,"FALSE",0,"FALSE",0
"contrib/analyzers/common/src/java/org/apache/lucene/analysis/cjk/CJKAnalyzer.java",0,5,158,2,0,1,2,7,1,11,1,6,1,6,74,3,6,7,39,0,4,2,6,29,7,6,27,67,14,1.1,17,41,2,32,0,5,1,55,2,0,8,1,5,3,1,9,4.16666666666667,1,2,1.16666666666667,1,7,0.909090909090909,0,8,8,4,202,19,0.291139240506329,0.375,0,5,4,2,"FALSE",0,"TRUE",3
