File,CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,RealBug
lucene/backwards/src/test/org/apache/lucene/analysis/BaseTokenStreamTestCase.java,0,4,170,12,0,1,0,34,2,5,20,0,2,22,22,1,22,33,33,0,0,13,22,56,33,22,34,112,56,0.2,36,90,12,56,0,2,2,0,3,128,7,1,201,31.45454545,0,20,2.045454545,1,1032,47.86363636,1,5,0.44,0,0,0,0,0,0,1,0,0,1,0,0,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestAnalyzers.java,0,9,163,3,1,1,0,12,1,10,0,0,1,9,41,2,9,12,35,0,3,3,8,70,12,11,35,105,44,0.39,18,79,3,65,0,9,1,33,4,0,11,1,9,2.222222222,0,5,2.666666667,0,3,1.333333333,1,2,0.666666667,0,0,0,0,0,0,0.987804878,0,0,1,0,1,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestASCIIFoldingFilter.java,0,528,1906,5,1,1,0,7,2,608,0,493,2,3,1544,1,3,7,253,0,0,5,2,1573,7,3,24,1593,90,0.97,241,114,5,107,77,3,2,0,4,0,5,1,5,2.666666667,1,13,7.666666667,4,10,4,1,2,1.2,0,0,0,0,0,0,1,0,0,1,0,0,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestCachingTokenFilter.java,1,21,110,2,0,1,0,5,2,26,0,1,2,3,20,2,3,5,26,0,4,2,2,48,5,3,29,71,33,0.28,19,62,2,56,4,3,2,50,4,0,16,2,5,4,2,21,10.33333333,4,2,1.666666667,1,1,0.833333333,0,0,0,0,0,0,1,0,0,1,0,0,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestCharArraySet.java,0,21,180,10,0,1,1,17,3,25,0,2,3,5,41,1,5,17,27,0,0,10,5,91,17,5,24,118,69,0.35,21,93,10,75,1,5,3,40,3,0,1,1,2,1,0,17,9,6,512,104,1,1,0.714285714,0,0,0,0,0,0,1,0,0,1,0,0,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestCharFilter.java,0,3,69,1,0,1,0,8,1,3,0,0,1,8,16,3,8,8,20,4,0,1,4,12,8,8,18,39,8,0.41,14,26,1,15,0,8,1,0,4,0,4,1,4,1.125,0,5,2.875,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestISOLatin1AccentFilter.java,0,42,111,1,1,1,0,2,1,42,0,0,1,2,16,1,2,2,9,0,0,1,1,81,2,2,9,90,78,0.18,5,87,1,84,0,2,1,0,4,0,5,1,4,2.5,1,6,5,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestKeywordAnalyzer.java,0,11,98,1,0,1,0,4,1,13,0,0,1,4,17,1,4,4,37,0,2,1,4,38,4,4,35,66,22,0.26,15,57,1,52,1,4,1,62,4,0,21,1,5,3.25,1,13,10.5,8,1,1,1,0,0,0,0,0,0,0,0,0.989795918,0,0,1,0,1,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestLengthFilter.java,0,13,41,1,0,1,0,1,1,14,0,0,1,1,16,1,1,1,9,0,0,1,1,11,1,1,8,18,7,0.89,7,15,1,13,1,1,1,0,4,0,6,1,1,1,1,8,8,8,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestMappingCharFilter.java,0,6,162,1,0,1,0,13,1,7,0,0,1,13,45,1,13,13,45,0,1,1,13,63,13,13,43,96,29,0.47,21,72,1,58,0,13,1,0,4,0,6,1,1,1,1,4,2.461538462,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestNumericTokenStream.java,0,11,73,3,0,1,2,9,3,13,0,1,3,3,20,1,3,9,17,0,0,3,3,27,9,3,19,43,18,0.47,10,37,3,29,0,3,3,66,4,0,5,1,5,3.333333333,0,10,8,4,4,2.666666667,2,1,1,1,0,0,0,0,0,1,0,0,1,0,0,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestPerFieldAnalzyerWrapper.java,0,20,48,1,0,1,0,1,1,23,0,0,1,1,16,1,1,1,11,0,0,1,1,17,1,1,9,25,7,0.64,7,16,1,14,3,1,1,0,4,0,6,1,1,1,1,10,10,10,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestStandardAnalyzer.java,0,5,231,2,0,1,0,27,1,6,0,0,1,25,40,1,25,27,41,0,1,2,25,93,27,25,42,154,62,0.26,37,104,2,76,0,25,1,16,4,0,3,1,3,1.08,1,4,1.36,1,2,1.08,1,1,0.148148148,0,0,0,0,0,0,0.978354978,0,0,1,0,1,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestStopAnalyzer.java,0,11,101,2,0,1,0,9,2,12,0,0,2,5,17,1,5,9,38,1,2,2,4,44,9,5,37,70,22,0.24,15,59,2,49,0,5,2,70,4,0,6,1,3,2,1,12,7.6,2,2,1.8,1,1,0.857142857,0,0,0,0,0,0,0.98019802,0,0,1,0,1,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestStopFilter.java,2,15,139,8,0,1,1,18,3,16,1,1,3,6,25,1,6,18,49,0,0,8,4,74,18,6,55,103,51,0.24,13,106,8,90,0,5,3,83,4,0,8,1,4,1.833333333,0,14,9,1,72,13.16666667,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestTeeSinkTokenFilter.java,0,16,272,11,2,1,2,34,3,17,0,0,3,11,28,5,11,32,71,1,8,11,8,140,32,11,76,211,109,0.13,33,185,11,150,0,11,3,56,4,0,15,2,8,3.363636364,1,20,6.727272727,2,105,14.27272727,1,4,1,0,0,0,0,0,0,0.981617647,0,0,1,0,1,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/TestToken.java,0,12,255,6,0,1,0,18,2,13,0,0,2,12,58,3,12,18,54,0,0,6,12,121,18,12,56,167,92,0.35,30,148,6,127,0,12,2,0,3,1,15,2,2,0.5,0,12,5.166666667,0,32,3.666666667,1,1,0.25,0,0,0,0,0,0,1,0,0,1,0,0,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/tokenattributes/TestSimpleAttributeImpls.java,0,10,136,1,0,1,0,8,1,12,2,0,1,8,17,1,8,8,26,0,0,1,8,65,8,8,26,87,52,0.2,32,78,1,69,2,6,1,0,3,0,8,1,11,3,0,10,6.375,2,1,1,1,3,0.272727273,0,0,0,0,0,0,1,0,0,1,0,0,FALSE
lucene/backwards/src/test/org/apache/lucene/analysis/tokenattributes/TestTermAttributeImpl.java,0,16,173,6,0,1,0,14,2,17,0,0,2,8,22,1,8,14,38,0,0,6,8,101,14,8,44,133,80,0.17,18,124,6,109,0,8,2,0,3,0,3,1,1,0.375,0,10,6.125,2,32,5,1,1,0.4,0,0,0,0,0,0,1,0,0,1,0,0,FALSE
lucene/backwards/src/test/org/apache/lucene/document/TestBinaryDocument.java,0,26,117,2,0,1,0,3,2,40,0,5,2,2,29,1,2,3,30,0,2,2,2,45,3,2,28,64,24,0.45,24,52,2,49,8,2,2,50,3,0,12,1,8,6,4,22,21,20,2,1.5,1,2,1,0,0,0,0,0,0,0.982905983,0,0,1,0,1,FALSE
